Span	2560 Hz			Span	2560 Hz			Span	2560 Hz			Span	2560 Hz			
Sample frequency	6553.6 Hz			Sample frequency	6553.6 Hz			Sample frequency	6553.6 Hz			Sample frequency	6553.6 Hz			
Frequency resolution	1.6 Hz			Frequency resolution	1.6 Hz			Frequency resolution	1.6 Hz			Frequency resolution	1.6 Hz			
X axis increment	1.6 Hz			X axis increment	1.6 Hz			X axis increment	1.6 Hz			X axis increment	1.6 Hz			
X axis	0-3276.8 Hz			X axis	0-3276.8 Hz			X axis	0-3276.8 Hz			X axis	0-3276.8 Hz			
X axis unit	Hz			X axis unit	Hz			X axis unit	Hz			X axis unit	Hz			
Number of lines	2049			Number of lines	2049			Number of lines	2049			Number of lines	2049			
Value type	Complex			Value type	Complex			Value type	Complex			Value type	Complex			
Y axis unit	/			Y axis unit	Pa/V			Y axis unit	/			Y axis unit	Pa/V			
Reference actual sensitivity	1000 mV/V			Reference actual sensitivity	1000 mV/V			Reference actual sensitivity	1000 mV/V			Reference actual sensitivity	1000 mV/V			
Reference transducer sn				Reference transducer sn				Reference transducer sn				Reference transducer sn				
Reference transducer id				Reference transducer id				Reference transducer id				Reference transducer id				
Reference user comment				Reference user comment				Reference user comment				Reference user comment				
Reference user channel id				Reference user channel id				Reference user channel id				Reference user channel id				
Reference channel id	3			Reference channel id	3			Reference channel id	3			Reference channel id	3			
Reference DOF id	Source:S			Reference DOF id	Source:S			Reference DOF id	Source:S			Reference DOF id	Source:S			
Reference point direction sign				Reference point direction sign				Reference point direction sign				Reference point direction sign				
Reference point direction absolute	S			Reference point direction absolute	S			Reference point direction absolute	S			Reference point direction absolute	S			
Reference point direction	S			Reference point direction	S			Reference point direction	S			Reference point direction	S			
Reference point id node	Source			Reference point id node	Source			Reference point id node	Source			Reference point id node	Source			
Reference point id component				Reference point id component				Reference point id component				Reference point id component				
Reference point id	Source			Reference point id	Source			Reference point id	Source			Reference point id	Source			
PhysicalChannelId	Input2			PhysicalChannelId	Input2			PhysicalChannelId	Input2			PhysicalChannelId	Input2			
Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			Channel group	Group 1			
Channelgroup	Acoustic			Channelgroup	Acoustic			Channelgroup	Acoustic			Channelgroup	Acoustic			
